,,3 repeats / 19 voters,,9 repeats / 24 voters,,11 repeats / 28 voters,
,,,,,,,
,,,,,,,
2019,,2020,,2021,,2022,
Andrew Sharp,,Amin Elhassan,,Bill Reiter,,Anthony Chiang,@Anthony_Chiang
Brian Mahoney,,Andy Larsen,,Bill Simmons,,Anthony Slater,
Brian Windhorst,,Bill Simmons,,Brian Windhorst,,Bill Reiter,@sportsreiter
Chris Mannix,,Brad Townsend,,Cassidy Hubbarth,,Bill Simmons,@BillSimmons
Doug Smith,,Chris Fedor,,Chris Broussard,,Brian Windhorst,@WindhorstESPN
Jalen Rose,,Chris Kirschner,,Chris Fedor,,Chris Herring,@Herring_NBA
John Schuhmann,,Chris Mannix,,Chris Haynes,,Chris Kirschner,@ChrisKirschner
Kevin Arnovitz,,Dan Devine,,Chris Kirschner,,Chris Mannix,@SIChrisMannix
Kurt Helin,,Dave McMenamin,,Dan Devine,,Dan Devine,@YourManDevine
Matt Velazquez,,Davide Chinellato,,Doug Smith,,Dave McMenamin,
Michelle Beadle,,Frank Isola,,James Owczarski,,David Aldridge,@davidaldridgedc
Mike Singer,,Greg Logan,,Jeff Zillgitt,,Davide Chinellato,@dchinellato
Paul Flannery,,Jackie MacMullan,,Joe Freeman,,Doris Burke,@heydb
Ric Bucher,,Jason Anderson,,Joe Vardon,,Doug Smith,@SmithRaps
Rob Mahoney,,Jeff Zillgitt,,Justin Termine,,Eric Koreen,@ekoreen
Sean Deveney,,Justin Termine,,Kevin O'Connor,,Eric Nehm,@eric_nehm
Stefan Bondy,,Kevin Arnovitz,,Kurt Helin,,Eric Walden,@tribjazz
Tim Reynolds,,Kevin O'Connor,,Marc Kestecher,,Frank Isola,@TheFrankIsola
Zach Lowe,,Kevin Pelton,,Mike Singer,,Gary Washburn,@GwashburnGlobe
,,Kurt Helin,,Olgun Uluc,,Harris Stavrou,@harris_stavrou
,,Renjun Bao,,Omari Sankofa II,,Howard Beck,@HowardBeck
,,Royce Young,,Rachel Nichols,,Jalen Rose,@JalenRose
,,Sam Amick,,Rob Mahoney,,James Edwards III,@JLEdwardsIII
,,Zach Lowe,,Stephen A Smith,,Joe Vardon,@joevardon
,,,,Tony Jones,,Josh Robbins,@JoshuaBRobbins
,,,,Vince Goodwill,,Justin Termine,@TermineRadio
,,,,Zach Harper,,K.C. Johnson,@KCJHoop
,,,,Zach Lowe,,Kendrick Perkins,@KendrickPerkins
,,,,,,Kevin O'Connor,@KevinOConnorNBA
,,,,,,Kurt Helin,@basketballtalk
,,,,,,Lisa Hsu,
,,,,,,Michael Pina,@MichaelVPina
,,,,,,Mike Greenberg,@Espngreeny
,,,,,,Mike Singer,@msinger
,,,,,,Renjun Bao,
,,,,,,Ryen Russillo,
,,,,,,Sam Amick,@sam_amick
,,,,,,Steve Aschburner,@AschNBA
,,,,,,Tim Bontemps,@TimBontemps
,,,,,,Zach Harper,@talkhoops
,,,,,,Zach Lowe,@ZachLowe_NBA
