,,7 repeats/ 21 voters,,10 repeats / 29 voters,,10 repeats / 24 voters,
,,,,,,,
,,,,,,,
2019,,2020,,2021,,2022,
Andrew Sharp,,Amin Elhassan,,Bill Reiter,,Anthony Chiang,@Anthony_Chiang
Brian Windhorst,,Andy Larsen,,Chris Broussard,,Bill Reiter,@sportsreiter
Chris Mannix,,Antoni Daimiel,,Chris Fedor,,Bill Simmons,@BillSimmons
Doug Smith,,Bill Simmons,,Chris Haynes,,Brian Windhorst,@WindhorstESPN
Jackie MacMullan,,Brad Townsend,,Chris Kirschner,,Chris Herring,@Herring_NBA
Jalen Rose,,Chris Broussard,,Dan Devine,,Chris Kirschner,@ChrisKirschner
John Schuhmann,,Chris Fedor,,Doug Smith,,Chris Mannix,@SIChrisMannix
Justin Termine,,Chris Kirschner,,Ernie Johnson,,Dan Devine,@YourManDevine
Kevin Arnovitz,,Dan Devine,,James Owczarski,,David Aldridge,@davidaldridgedc
Kevin Pelton,,Dave McMenamin,,Jeff Zillgitt,,Davide Chinellato,@dchinellato
Kurt Helin,,Davide Chinellato,,Joe Vardon,,Doris Burke,@heydb
Matt Velazquez,,Frank Isola,,Justin Termine,,Doug Smith,@SmithRaps
Michelle Beadle,,Greg Logan,,Kevin O'Connor,,Eric Koreen,@ekoreen
Mike Singer,,Jackie MacMullan,,Kurt Helin,,Eric Walden,@tribjazz
Paul Flannery,,Jason Anderson,,Mike Singer,,Gary Washburn,@GwashburnGlobe
Reid Forgrave,,Jeff Zillgitt,,Olgun Uluc,,Harris Stavrou,@harris_stavrou
Ric Bucher,,Justin Termine,,Omari Sankofa II,,Howard Beck,@HowardBeck
Rob Mahoney,,Kevin Arnovitz,,Rachel Nichols,,Jalen Rose,@JalenRose
Sean Deveney,,Kevin O'Connor,,Rob Mahoney,,James Edwards III,@JLEdwardsIII
Stefan Bondy,,Kevin O'Connor,,Steve Aschburner,,Joe Vardon,@joevardon
Zach Lowe,,Kevin Pelton,,Tony Jones,,Josh Robbins,@JoshuaBRobbins
,,Kurt Helin,,Vince Goodwill,,K.C. Johnson,@KCJHoop
,,Renjun Bao,,Zach Harper,,Kelly Iko,
,,Royce Young,,Zach Lowe,,Kendrick Perkins,@KendrickPerkins
,,Sam Amick,,,,Kevin O'Connor,@KevinOConnorNBA
,,Stefan Bondy,,,,Kurt Helin,@basketballtalk
,,Vince Goodwill,,,,Lisa Hsu,
,,Will Guillory,,,,Michael Pina,@MichaelVPina
,,Zach Lowe,,,,Mike Greenberg,@Espngreeny
,,,,,,Renjun Bao,
,,,,,,Ryen Russillo,
,,,,,,Sam Amick,@sam_amick
,,,,,,Stephen A. Smith,@stephenasmith
,,,,,,Steve Aschburner,@AschNBA
,,,,,,Taylor Rooks,@TaylorRooks
,,,,,,Tim Bontemps,@TimBontemps
,,,,,,Zach Harper,@talkhoops
,,,,,,Zach Lowe,@ZachLowe_NBA
