,,18 repeats / 38 voters,,19 repeats / 39 voters,,24 repeats / 41 voters,
,,,,,,,
2019,,2020,,2021,,2022,
Andrew Sharp,@andrewsharp,Amin Elhassan,,Anthony Chiang,@Anthony_Chiang,Anthony Chiang,@Anthony_Chiang
Anthony Slater,@anthonyVslater,Andy Larsen,,Bill Reiter,,Antoni Daimiel,@ADaimiel
Bill Simmons,,Antoni Daimiel,,Bill Simmons,,Bill Reiter,@sportsreiter
Brian Mahoney,,Bill Simmons,,Brian Windhorst,,Bill Simmons,@BillSimmons
Brian Windhorst,,Brad Townsend,,Cassidy Hubbarth,,Brian Windhorst,@WindhorstESPN
Cassidy Hubbarth,,Brian Windhorst,,Chris Broussard,,Chris Broussard,@Chris_Broussard
Chris Broussard,,Chris Broussard,,Chris Fedor,,Chris Herring,@Herring_NBA
Chris Haynes,,Chris Fedor,,Chris Haynes,,Chris Kirschner,@ChrisKirschner
Chris Mannix,,Chris Kirschner,,Chris Kirschner,,Chris Mannix,@SIChrisMannix
Chris Webber,,Chris Mannix,,Chris Mannix,,Dan Devine,@YourManDevine
Dave McMenamin,,Dan Devine,,Dan Devine,,David Aldridge,@davidaldridgedc
Dennis Scott,,Dave McMenamin,,Davide Chinellato,,Davide Chinellato,@dchinellato
Doug Smith,,Davide Chinellato,,Doris Burke,,Doris Burke,@heydb
Howard Beck,,Frank Isola,,Doug Smith,,Doug Smith,@SmithRaps
Jalen Rose,,Greg Logan,,Ernie Johnson,,Eric Koreen,@ekoreen
Joe Vardon,,Howard Beck,,Greg Anthony,,Eric Nehm,@eric_nehm
John Schuhmann,,Jackie MacMullan,,Howard Beck,,Eric Walden,@tribjazz
Justin Termine,,Jalen Rose,,Jackie MacMullan,,Frank Isola,@TheFrankIsola
K.C. Johnson,,Jason Anderson,,Jalen Rose,,Gary Washburn,@GwashburnGlobe
Kevin Arnovitz,,Jeff Zillgitt,,James Owczarski,,Greg Anthony,@GregAnthony50
Kevin O'Connor,,Justin Termine,,Jeff Zillgitt,,Harris Stavrou,@harris_stavrou
Kevin Pelton,,Kevin Arnovitz,,Joe Freeman,,Howard Beck,@HowardBeck
Kurt Helin,,Kevin O'Connor,,Joe Vardon,,Jalen Rose,@JalenRose
Matt Velazquez,,Kevin Pelton,,Justin Termine,,James Edwards III,@JLEdwardsIII
Michael Wilbon,,Kurt Helin,,Kelly Iko,,Jared Greenberg,@JaredSGreenberg
Michelle Beadle,,Matt Velazquez,,Kevin O'Connor,,Jason Anderson,@JandersonSacBee
Mike Singer,,Ramona Shelburne,,Kurt Helin,,Jeff Zillgitt,@JeffZillgitt
Paul Flannery,,Reggie Miller,,Michael Wilbon,,Joe Vardon,@joevardon
Reid Forgrave,,Renjun Bao,,Mike Breen,,Josh Robbins,@JoshuaBRobbins
Ric Bucher,,Ric Bucher,,Mike C. Wright,,Justin Termine,@TermineRadio
Rob Mahoney,,Rod Beard,,Mike Singer,,K.C. Johnson,@KCJHoop
Sean Deveney,,Royce Young,,Olgun Uluc,,Keith Pompey,@PompeyOnSixers
Sekou Smith,,Sam Amick,,Omari Sankofa II,,Kendrick Perkins,@KendrickPerkins
Stefan Bondy,,Sekou Smith,,Rob Mahoney,,Kevin O'Connor,@KevinOConnorNBA
Tim Bontemps,,Stefan Bondy,,Sam Amick,,Kevin Pelton,@kpelton
Tim Reyonlds,,Vince Goodwill,,Simone Sandri,,Kurt Helin,@basketballtalk
Vince Goodwill,,Will Guillory,,Stephen A Smith,,Lisa Hsu,
Zach Lowe,,Zach Harper,,Tony Jones,,Mark Medina,@MarkG_Medina
,,Zach Lowe,,Vince Goodwill,,Matt Winer,@MattWinerTV
,,,,Zach Harper,,Michael Pina,@MichaelVPina
,,,,Zach Lowe,,Michael Wilbon,@RealMikeWilbon
,,,,,,Michael Wright,@mikecwright
,,,,,,Mike Greenberg,@Espngreeny
,,,,,,Mike Singer,@msinger
,,,,,,Ramona Shelburne,@ramonashelburne
,,,,,,Remi Reverchon,@SoFrenchProd
,,,,,,Renjun Bao,
,,,,,,Ric Bucher,@RicBucher
,,,,,,Ryen Russillo,
,,,,,,Sam Amick,@sam_amick
,,,,,,Stephen A. Smith,@stephenasmith
,,,,,,Steve Aschburner,@AschNBA
,,,,,,Taylor Rooks,@TaylorRooks
,,,,,,Tim Bontemps,@TimBontemps
,,,,,,Zach Harper,@talkhoops
,,,,,,Zach Lowe,@ZachLowe_NBA
