RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
1,Joel Embiid,Phi,C-F,28.07,68,33.8,70.4,37.2,11.3,803,0.814,1083,0.529,251,0.371,0.534,0.616,30.6,11.7,19.4,4.2,23.6,1.13,1.47,3.15,13.6,119.8,101.5
2,LeBron James,Lal,F,37.28,56,37.2,77.5,32.3,12.5,336,0.756,773,0.62,448,0.359,0.59,0.619,30.3,8.2,11.8,6.2,30.6,1.3,1.05,3.5,12.4,116.6,109.4
3,Giannis Antetokounmpo,Mil,F,27.35,67,32.9,68.5,34.9,12.2,766,0.722,1003,0.616,242,0.293,0.582,0.633,29.9,11.6,18.7,5.8,31.7,1.07,1.36,3.27,15.3,123.9,100.5
4,Kevin Durant,Bro,F,33.53,55,37.2,77.6,31.2,12.9,409,0.91,815,0.568,300,0.383,0.57,0.634,29.9,7.4,10.8,6.4,29.1,0.87,0.95,3.47,12.1,120.6,110.1
5,Luka Doncic,Dal,F-G,23.12,65,35.4,73.7,37.4,15.3,489,0.744,834,0.528,569,0.353,0.529,0.571,28.4,9.1,14.3,8.7,46,1.15,0.55,4.49,14.8,110.7,102.7
6,Trae Young,Atl,G,23.56,76,34.9,72.7,34.4,14.5,553,0.904,933,0.512,611,0.381,0.536,0.603,28.4,3.7,5.9,9.7,46.8,0.96,0.09,3.99,11.5,119.5,114.3
7,DeMar DeRozan,Chi,G-F,32.68,76,36.1,75.2,31.8,9.2,593,0.877,1393,0.52,142,0.352,0.521,0.59,27.9,5.2,8,4.9,23.3,0.89,0.32,2.38,9.9,117.4,110.9
8,Kyrie Irving,Bro,G,30.05,29,37.6,78.4,29.4,9.8,129,0.915,377,0.501,239,0.418,0.55,0.592,27.4,4.3,6.3,5.8,25.2,1.41,0.59,2.52,9.4,116.6,109.8
9,Ja Morant,Mem,G,22.67,57,33.1,69,33.7,12.6,415,0.761,920,0.535,256,0.344,0.531,0.576,27.4,5.7,9,6.7,34.1,1.16,0.39,3.44,12.3,115.2,109.2
10,Nikola Jokic,Den,C,27.14,74,33.5,69.7,31.9,15.6,468,0.81,1023,0.652,288,0.337,0.62,0.661,27.1,13.8,23,7.9,42.6,1.47,0.86,3.78,17.1,126.3,101.3
11,Jayson Tatum,Bos,F-G,24.11,76,35.9,74.9,32.1,10.9,469,0.853,913,0.524,651,0.353,0.526,0.578,26.9,8,12.1,4.4,21.1,0.97,0.64,2.86,10.9,113.4,102.5
12,Devin Booker,Pho,G,25.44,68,34.5,71.8,32,9.3,363,0.868,943,0.508,478,0.383,0.53,0.576,26.8,5,7.8,4.8,22.4,1.13,0.38,2.38,10,113.4,104
13,Donovan Mitchell,Uta,G,25.59,67,33.8,70.5,33,11.7,313,0.853,722,0.533,654,0.355,0.533,0.572,25.9,4.2,6.8,5.3,27.7,1.48,0.18,2.99,9.8,114.1,106.2
14,Stephen Curry,Gol,G,34.07,64,34.6,72,30.8,13.2,298,0.923,474,0.527,750,0.38,0.554,0.601,25.5,5.2,8.2,6.3,30.4,1.33,0.36,3.22,10.9,115,104.9
15,Karl-Anthony Towns,Min,C-F,26.4,74,33.5,69.7,27.8,13.7,467,0.822,846,0.582,367,0.409,0.591,0.641,24.6,9.8,15.7,3.6,18,0.97,1.12,3.05,11.4,121.3,102.7
16,Shai Gilgeous-Alexander,Okc,G-F,23.75,56,34.7,72.2,30.8,11.1,405,0.81,755,0.514,297,0.3,0.496,0.557,24.5,5,7.4,5.9,31.1,1.29,0.8,2.75,10.3,111.3,108.7
17,Zach LaVine,Chi,G-F,27.09,67,34.7,72.4,28.8,11.2,375,0.853,711,0.534,475,0.389,0.554,0.605,24.4,4.6,7.5,4.5,20.8,0.61,0.34,2.55,9.2,115.1,112.8
18,Paul George,Lac,F,31.94,31,34.8,72.4,33.8,15.2,148,0.858,379,0.467,257,0.354,0.493,0.538,24.3,6.9,10.4,5.7,28.1,2.16,0.42,4.06,11.3,100.3,103.2
19,CJ McCollum,Nor,G,30.56,26,33.8,70.4,29.4,9.5,102,0.667,319,0.549,180,0.394,0.564,0.58,24.3,4.5,7.3,5.8,31.3,1.35,0.04,2.19,10.2,116.2,111.1
20,Damian Lillard,Por,G,31.74,29,36.4,75.9,29.3,11.6,181,0.878,268,0.485,284,0.324,0.486,0.55,24,4.1,6.2,7.3,34,0.59,0.38,2.86,9.8,112.6,119.5
21,Jaylen Brown,Bos,G-F,25.46,66,33.6,70.1,30.5,11.6,318,0.758,753,0.544,464,0.358,0.541,0.574,23.6,6.1,9.8,3.5,17.9,1.05,0.27,2.7,9.5,109.3,102.3
22,Bradley Beal,Was,G,28.79,40,36,74.9,30.8,13.6,203,0.833,561,0.508,210,0.3,0.492,0.539,23.2,4.7,7.3,6.6,30.8,0.9,0.38,3.38,10,105.7,111.9
23,Anthony Davis,Lal,F-C,29.09,40,35.1,73.1,27.1,9.3,244,0.713,625,0.571,70,0.186,0.542,0.578,23.2,9.9,15,3.1,14.7,1.23,2.25,2.05,10.2,115.5,107.6
24,De'Aaron Fox,Sac,G,24.31,59,35.3,73.6,29.1,11.9,348,0.75,843,0.524,249,0.297,0.506,0.549,23.2,3.9,6,5.6,26.8,1.15,0.42,2.85,9,107.4,110.8
25,Pascal Siakam,Tor,F,28.03,68,37.9,79,25.8,11.6,379,0.749,989,0.527,218,0.344,0.525,0.565,22.8,8.5,12.2,5.3,23,1.25,0.62,2.66,10.6,115.6,103.8
26,Brandon Ingram,Nor,F,24.61,55,34,70.8,29.3,11.8,322,0.826,757,0.501,226,0.327,0.498,0.554,22.7,5.8,9.5,5.6,27.8,0.62,0.45,2.75,10.6,111.1,109.9
27,James Harden,Bro,G,32.63,44,37,77.1,28.3,19.8,350,0.869,399,0.476,307,0.332,0.486,0.576,22.5,8,11.7,10.2,39.7,1.27,0.7,4.82,13.2,112,108.2
28,Kristaps Porzingis,Was,F-C,26.69,17,28.2,58.7,31.4,8.3,116,0.871,180,0.522,79,0.367,0.531,0.606,22.1,8.8,17.3,2.9,17.9,0.71,1.47,1.65,11.7,122.6,104
29,Darius Garland,Cle,G,22.21,68,35.7,74.4,27.8,16.2,241,0.892,719,0.512,454,0.383,0.536,0.576,21.7,3.3,5.1,8.6,39.9,1.31,0.1,3.65,9.5,112.5,109.3
30,Jimmy Butler,Mia,F,32.57,57,33.9,70.6,26.5,10.5,455,0.87,714,0.52,116,0.233,0.496,0.592,21.4,5.9,9.9,5.5,26.4,1.65,0.47,2.12,10.4,124,107
31,Norman Powell,Lac,G,28.88,5,25.1,52.3,30,8.2,35,0.857,39,0.487,24,0.542,0.611,0.682,21.4,2.8,5.8,2.8,19.4,0.4,0.8,1.4,8.8,132.2,104.3
32,Anthony Edwards,Min,G,20.68,72,34.3,71.4,26.4,12.3,280,0.786,642,0.52,602,0.357,0.528,0.561,21.3,4.8,7.4,3.8,17.4,1.46,0.64,2.65,8.5,108,109.7
33,Dejounte Murray,San,G,25.56,68,34.8,72.5,27.3,11.8,247,0.794,947,0.504,294,0.327,0.5,0.533,21.1,8.3,12.5,9.2,40.6,2.04,0.34,2.65,13.5,113,106.6
34,James Harden,Phi,G,32.63,21,37.7,78.6,24.9,16.4,186,0.892,145,0.476,141,0.326,0.483,0.601,21,7,10.4,10.5,41.4,1.29,0.24,3.43,12.3,121.9,106.9
35,Tyler Herro,Mia,G,22.22,66,32.6,67.9,28.8,12.5,219,0.868,683,0.477,439,0.399,0.525,0.561,20.7,5,8.7,4,20.9,0.67,0.12,2.64,9.1,107,108.5
36,CJ McCollum,Por,G,30.56,36,35.2,73.3,26.2,9.2,68,0.706,376,0.476,289,0.384,0.52,0.532,20.5,4.3,6.6,4.5,22.4,0.97,0.58,1.94,8.3,107.2,115.9
37,Klay Thompson,Gol,G,32.17,32,29.4,61.3,29.6,6.7,51,0.902,277,0.477,296,0.385,0.529,0.547,20.4,3.9,7.2,2.8,16.1,0.5,0.53,1.34,8.2,107.2,107
38,Fred VanVleet,Tor,G,28.12,65,37.9,78.9,23.7,12.5,222,0.874,455,0.44,642,0.377,0.513,0.552,20.3,4.5,6.4,6.7,26.7,1.71,0.55,2.62,9,114.5,107.9
39,LaMelo Ball,Cha,G,20.64,75,32.3,67.3,28.2,15.3,243,0.872,689,0.462,565,0.389,0.517,0.554,20.1,6.7,11,7.6,35.7,1.57,0.4,3.27,12.5,111.3,105.6
40,Miles Bridges,Cha,F,24.06,80,35.5,73.9,22.6,9.9,333,0.802,748,0.59,464,0.332,0.554,0.593,20.1,7,10.4,3.8,15.7,0.93,0.84,1.88,9.1,116.9,110.1
41,Khris Middleton,Mil,F,30.66,66,32.4,67.6,26.7,14.2,291,0.89,587,0.494,434,0.373,0.522,0.577,20.1,5.4,8.8,5.4,25.5,1.15,0.27,2.88,10.3,112.5,106.6
42,Julius Randle,Nyk,F-C,27.37,72,35.3,73.6,28.7,14.7,401,0.756,856,0.458,390,0.308,0.459,0.509,20.1,10,15,5.1,25.1,0.74,0.54,3.4,11.4,102.7,103
43,RJ Barrett,Nyk,F-G,21.82,70,34.5,71.9,27.6,9.9,406,0.714,790,0.442,404,0.342,0.466,0.511,20,5.8,9,3,14.9,0.61,0.23,2.16,8.2,103.4,108.3
44,Josh Hart,Por,G,27.1,13,32.1,66.8,25.1,13.7,57,0.772,100,0.61,83,0.373,0.587,0.622,19.9,5.4,9.2,4.3,23.1,1.23,0.15,2.54,9.6,116.4,112
45,Terry Rozier,Cha,G,28.07,73,33.7,70.1,23.2,7.1,176,0.852,575,0.517,593,0.374,0.539,0.566,19.3,4.3,6.8,4.5,19.8,1.27,0.34,1.3,8.5,116.7,113.5
46,Jerami Grant,Det,F,28.08,47,31.9,66.5,25.7,9.5,259,0.838,445,0.465,254,0.358,0.491,0.556,19.2,4.1,6.9,2.4,12.5,0.94,1.04,1.81,7.2,108.9,111.3
47,Kristaps Porzingis,Dal,F-C,26.69,34,29.5,61.4,28.6,8.3,170,0.865,335,0.537,173,0.283,0.499,0.561,19.2,7.7,14.5,2,11.7,0.74,1.74,1.56,9,113.6,101.3
48,Bam Adebayo,Mia,C-F,24.73,56,32.6,67.9,25,14.4,340,0.753,723,0.562,6,0,0.557,0.608,19.1,10.1,17.5,3.4,17.5,1.43,0.79,2.64,10.7,117.2,98.2
49,Malcolm Brogdon,Ind,G,29.33,36,33.5,69.8,24.6,11.1,167,0.856,357,0.518,186,0.312,0.501,0.557,19.1,5.1,8.6,5.9,26.9,0.86,0.39,2.14,9.9,115.8,114.5
50,Domantas Sabonis,Ind,F-C,25.94,47,34.7,72.3,21.7,17.3,258,0.74,463,0.639,108,0.324,0.61,0.649,18.9,12.1,19.4,5,22.2,0.98,0.47,3.04,12.1,123.4,107.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
